编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,月销售额,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
737,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaowujiahui75"，"点我对话"),wujiahui75,嘉惠小屋直销店,,02137826098,18918016992,,https://shop36886050.taobao.com,,,8637.00,广西,针织女,,4.89897分,50.69%,4.92165分,52.34%,4.9567分,72.59%,,,,,,,,,,
738,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao钱可通神168"，"点我对话"),钱可通神168,梦魅衣舍服饰店,,,,,https://shop64150121.taobao.com,,,46060.00,广西,针织女,,4.89041分,46.51%,4.92466分,54.17%,4.94521分,65.31%,,,,,,,,,,
739,东莞市健翔服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao健翔服饰专营店"，"点我对话"),健翔服饰专营店,健翔服饰专营店,,,,,https://shop105950677.taobao.com,,,1031670.00,广西,针织女,,4.89431分,16.90%,4.81843分,0%,4.88347分,26.97%,,,,,,,,,,
740,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蓉蓉服饰1688"，"点我对话"),蓉蓉服饰1688,依妮服装店,,,,,https://shop151455984.taobao.com,,,15180.00,广西,针织女,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
741,株洲馨时尚商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao诺曼雪旗舰店"，"点我对话"),诺曼雪旗舰店,诺曼雪旗舰店,,,,,https://shop473483142.taobao.com,,,313074.00,广西,针织女,,4.9467分,58.09%,4.88813分,33.64%,4.89024分,31.21%,,,,,,,,,,
742,上海从戎贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蝶域服饰旗舰店"，"点我对话"),蝶域服饰旗舰店,蝶域服饰旗舰店,,,,,https://shop106863696.taobao.com,,,6866112.00,广西,针织女,,4.94166分,54.12%,4.90744分,45.10%,4.91548分,47.04%,,,,,,,,,,
743,上海梨槿居服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao槿爷旗舰"，"点我对话"),槿爷旗舰,槿爷旗舰,,,,,https://shop490208411.taobao.com,,,0,广西,针织女,,5.0分,100%,4.95918分,75.78%,4.96939分,80.82%,,,,,,,,,,
744,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao哥弟正品企业店"，"点我对话"),哥弟正品企业店,恒源祥专柜代购店,,,,,https://shop129996015.taobao.com,,,12308.00,广西,针织女,,4.96591,83.36%,4.96212,76.96%,4.9697分,80.82%,,,,,,,,,,
745,阜阳梵涉服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao梵步涉旗舰店"，"点我对话"),梵步涉旗舰店,梵步涉旗舰店,,,,,https://shop69189837.taobao.com,,,72383.08,广西,针织女,,4.70375分,3.47%,4.57125分,5.38%,4.65分,3.93%,,,,,,,,,,
746,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoxiaoling1920"，"点我对话"),xiaoling1920,玲爽真丝服装店,,,18616146365,,https://shop59846574.taobao.com,,,58616.00,广西,针织女,,4.93696分,69.23%,4.96244分,77.15%,4.96048分,74.98%,,,,,,,,,,
747,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao逗逗的kitty"，"点我对话"),逗逗的kitty,kitty 正品代购,18651675466,,,,https://shop36118524.taobao.com,,,11698.00,广西,针织女,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
748,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao时尚也温柔"，"点我对话"),时尚也温柔,时尚也温柔,,,,,https://shop67216014.taobao.com,,,0,广西,针织女,,4.93258分,67.11%,4.9588分,74.95%,4.97378分,83.41%,,,,,,,,,,
749,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao帆影飘"，"点我对话"),帆影飘,哎呀嘛呀专柜代购,,,,,https://shop59001374.taobao.com,,,8138.00,广西,针织女,,4.91429,58.19%,4.77143,-1.32%,4.91429分,45.78%,,,,,,,,,,
750,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao田秀昭"，"点我对话"),田秀昭,梦琪羊绒服装店,,,,,https://shop73526272.taobao.com,,,25381.00,广西,针织女,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
751,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao林钰滢2012"，"点我对话"),林钰滢2012,美特斯邦威特卖店 爱怎样就怎样,,,,,https://shop108762047.taobao.com,,,140405.00,广西,针织女,,4.75039,-0.93%,4.78924,-0.96%,4.80194分,-0.83%,,,,,,,,,,
752,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao私衣阁"，"点我对话"),私衣阁,品尚团2号店,,,,,https://shop33579341.taobao.com,,,0,广西,针织女,,4.82967分,16.86%,4.87365分,23.14%,4.88357分,26.29%,,,,,,,,,,
753,贝拉维拉服饰股份有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaobellvilles旗舰店"，"点我对话"),bellvilles旗舰店,bellvilles旗舰店,,,,,https://shop103578231.taobao.com,,,118511.00,广西,针织女,,4.97279分,78.61%,4.90816分,45.52%,4.92177分,50.97%,,,,,,,,,,
754,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoxiuqi1987730"，"点我对话"),xiuqi1987730,milktina,,,,,https://shop58505259.taobao.com,,,129184.00,广西,针织女,,4.85754分,30.47%,4.87337分,22.97%,4.88268分,25.72%,,,,,,,,,,
755,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao柔祎2018"，"点我对话"),柔祎2018,BLUELABEL2016,,,,,https://shop475613576.taobao.com,,,3438.00,广西,针织女,,4.94118分,71.31%,4.93529分,60.66%,4.94706分,66.51%,,,,,,,,,,
756,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao羊绒洁"，"点我对话"),羊绒洁,我最美时尚羊绒店,,,,,https://shop106939316.taobao.com,,,622686.00,广西,针织女,,4.7939分,0.45%,4.81585分,-0.67%,4.84154分,0.24%,,,,,,,,,,
757,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoaiya130169"，"点我对话"),aiya130169,鄂尔多斯市自营店,,,,,https://shop62800165.taobao.com,,,101900.00,广西,针织女,,4.89583分,49.19%,4.88542分,30.35%,4.88542分,27.52%,,,,,,,,,,
758,上海泽东服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohipanda旗舰店"，"点我对话"),hipanda旗舰店,hipanda旗舰店,,,,,https://shop67370780.taobao.com,,,10814027.00,广西,针织女,,4.88831分,12.19%,4.85081分,11.50%,4.88476分,27.78%,,,,,,,,,,
759,深圳市恋伊人服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao八面妖姬旗舰店"，"点我对话"),八面妖姬旗舰店,八面妖姬旗舰店,,,,,https://shop159760801.taobao.com,,,0,广西,针织女,,4.84103分,0.65%,4.80042分,0.64%,4.82371分,0%,,,,,,,,,,
760,苏州桂舒姬服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao欧芮弗旗舰店"，"点我对话"),欧芮弗旗舰店,欧芮弗旗舰店,,,,,https://shop542997182.taobao.com,,,3884.30,广西,针织女,,4.95946分,68.12%,4.92471分,55.34%,4.92761分,54.64%,,,,,,,,,,
761,,一金,=HYPERLINK("aliim:sendmsg?&touid=cntaobao亚特兰帝斯"，"点我对话"),亚特兰帝斯,NANASTYLE港风原创店,021-34781316,,,,https://shop66277.taobao.com,,,40148.80,广西,针织女,,4.85228分,27.90%,4.87979分,26.87%,4.8922分,31.75%,,,,,,,,,,
762,威县其岭商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao歌琳妃旗舰店"，"点我对话"),歌琳妃旗舰店,歌琳妃旗舰店,,,,,https://shop326373962.taobao.com,,,811023.00,广西,针织女,,4.85242分,0%,4.77804分,1.11%,4.79103分,1.02%,,,,,,,,,,
763,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolace_77"，"点我对话"),lace_77,LACE 77,,,,,https://shop112989163.taobao.com,,,33547.00,广西,针织女,,4.792分,0.10%,4.78848分,-0.97%,4.82674分,0.32%,,,,,,,,,,
764,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao天悦家具厂"，"点我对话"),天悦家具厂,天悦生活源,,,,,https://shop457039434.taobao.com,,,5217.44,广西,针织女,,4.69975,-3.81%,4.74577,-3.15%,4.75719分,-2.87%,,,,,,,,,,
765,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao12瑞金"，"点我对话"),12瑞金,伊丽日韩时尚品牌女装,,,,,https://shop203186213.taobao.com,,,3163.00,广西,针织女,,4.88333,43.09%,4.86667,18.95%,4.86667分,15.66%,,,,,,,,,,
766,上海晶镀时尚服装设计工作室（普通合伙）,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoreineren旗舰店"，"点我对话"),reineren旗舰店,reineren旗舰店,,,,,https://shop358062063.taobao.com,,,0,广西,针织女,,4.93878分,51.86%,4.89796分,39.48%,4.97959分,87.21%,,,,,,,,,,
767,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao韩莱枫女装"，"点我对话"),韩莱枫女装,韩莱枫女装,,,,,https://shop140083034.taobao.com,,,300232.00,广西,针织女,,4.67875分,-2.43%,4.75281分,-1.71%,4.78192分,-1.24%,,,,,,,,,,
768,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao美丽衣人2008"，"点我对话"),美丽衣人2008,思密达韩国精品女装店,,,,,https://shop104257858.taobao.com,,,136667.00,广西,针织女,,4.77662分,0.39%,4.82067分,0.31%,4.84753分,3.47%,,,,,,,,,,
769,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao食无忌"，"点我对话"),食无忌,时尚伊人精品店,,,,,https://shop73375912.taobao.com,,,221933.60,广西,针织女,,4.90593分,-0.58%,4.9479分,17.39%,4.94935分,16.14%,,,,,,,,,,
770,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoams代购"，"点我对话"),ams代购,AMS代购,,,,,https://shop151190684.taobao.com,,,13120.00,广西,针织女,,4.93548分,68.51%,4.96774分,80.37%,4.96774分,79.58%,,,,,,,,,,
771,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao默默开荒牛"，"点我对话"),默默开荒牛,美特斯邦威折扣店铺,,,,,https://shop61573091.taobao.com,,,21323.00,广西,针织女,,4.77612,0.40%,4.81194,0.49%,4.82537分,0.34%,,,,,,,,,,
772,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao潮人依轩"，"点我对话"),潮人依轩,潮人依轩,,,,,https://shop100038216.taobao.com,,,256.00,广西,针织女,,,,,,,,,,,,,,,,,
773,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao天空很大爱谁谁"，"点我对话"),天空很大爱谁谁,6月末夏至,,,13764914088,,https://shop58200487.taobao.com,,,475.00,广西,针织女,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
774,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao动漫画td"，"点我对话"),动漫画td,BSKTHOP服饰店,,,,,https://shop148322559.taobao.com,,,9455.00,广西,针织女,,4.80417分,4.42%,4.88333分,29.02%,4.8875分,28.77%,,,,,,,,,,
775,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaobreadnbutter自营店"，"点我对话"),breadnbutter自营店,breadnbutter官方折扣店,,,,,https://shop155705940.taobao.com,,,28870.00,广西,针织女,,4.79839,1.66%,4.79839,-0.77%,4.81452分,-0.57%,,,,,,,,,,
776,南宫市鸿运皮毛有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao皇兔美眉旗舰店"，"点我对话"),皇兔美眉旗舰店,皇兔美眉旗舰店,,,,,https://shop181895935.taobao.com,,,10778980.48,贵州,针织女,,4.78587分,1.78%,4.72333分,2.24%,4.74834分,1.90%,,,,,,,,,,
777,上海羽娴服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao袖黛旗舰店"，"点我对话"),袖黛旗舰店,袖黛旗舰店,,,,,https://shop112902946.taobao.com,,,4864174.00,贵州,针织女,,4.9503分,60.92%,4.93481分,61.33%,4.9394分,62.02%,,,,,,,,,,
778,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao靓依名品网购"，"点我对话"),靓依名品网购,恒源祥正品网店,,,,,https://shop148093721.taobao.com,,,113236.00,贵州,针织女,,4.93419分,67.88%,4.93419分,59.96%,4.93419分,58.33%,,,,,,,,,,
779,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao七彩没贵"，"点我对话"),七彩没贵,七彩楼兰,,,,,https://shop62327978.taobao.com,,,29726.00,贵州,针织女,,4.76514分,-0.63%,4.8438分,4.98%,4.86418分,14.01%,,,,,,,,,,
780,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao刘天明780813"，"点我对话"),刘天明780813,浪漫依阁,,,,,https://shop155605666.taobao.com,,,4137.00,贵州,针织女,,4.78182分,0.27%,4.78182分,-1.11%,4.78182分,-1.24%,,,,,,,,,,
781,上海熏恋贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao熏恋旗舰店"，"点我对话"),熏恋旗舰店,熏恋旗舰店,18018502466,,,,https://shop105615555.taobao.com,,,3717723.00,河北,针织女,,4.91323分,31.77%,4.87447分,25.55%,4.88758分,29.56%,,,,,,,,,,
782,莆田市诚轩贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao耀晨旗舰店"，"点我对话"),耀晨旗舰店,耀晨旗舰店,,,,,https://shop536175602.taobao.com,,,7487.72,河北,针织女,,4.78409分,1.82%,4.64489分,3.86%,4.72443分,2.40%,,,,,,,,,,
783,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao30days_暴躁的蜗牛"，"点我对话"),30days_暴躁的蜗牛,UOYMIE 时光渡 女装,,,,,https://shop115164678.taobao.com,,,0,河北,针织女,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
784,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao盛鑫企业店"，"点我对话"),盛鑫企业店,美特斯邦威 企业店,,,,,https://shop281609935.taobao.com,,,38473.00,河北,针织女,,4.71971,-1.57%,4.77593,-1.23%,4.77831分,-1.32%,,,,,,,,,,
785,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao浅莫1995"，"点我对话"),浅莫1995,周小易 STUDIOS,,,,,https://shop254121073.taobao.com,,,106052.50,河北,针织女,,4.86036分,31.84%,4.88949分,32.77%,4.8952分,33.65%,,,,,,,,,,
786,杭州朝联贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蔓朵恋旗舰店"，"点我对话"),蔓朵恋旗舰店,蔓朵恋旗舰店,,,,,https://shop517377811.taobao.com,,,7368.49,河北,针织女,,4.85126分,0%,4.75515分,1.58%,4.78261分,1.19%,,,,,,,,,,
787,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao冰冰ice03"，"点我对话"),冰冰ice03,衣衣布言布語,,,,,https://shop105666874.taobao.com,,,179585.00,河北,针织女,,4.82715分,15.63%,4.8687分,20.12%,4.86814分,16.52%,,,,,,,,,,
788,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao时尚衣心之美"，"点我对话"),时尚衣心之美,永光国际服饰,,18258230911,18258230911,,https://shop110426764.taobao.com,,,38755.00,河北,针织女,,4.99053分,95.38%,4.99225分,95.29%,4.98966分,93.45%,,,,,,,,,,
789,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaon1542329424"，"点我对话"),n1542329424,SZM SHOP勺子麦,,,,,https://shop135415844.taobao.com,,,14306.00,河北,针织女,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
790,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoran宝宝0919"，"点我对话"),ran宝宝0919,玖姿兰总店,,,,,https://shop135759651.taobao.com,,,9375.00,河北,针织女,,4.91333分,57.70%,4.94分,63.50%,4.93333分,57.79%,,,,,,,,,,
791,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao濮院毛衫988"，"点我对话"),濮院毛衫988,d[s114012581],,,,,https://shop114012581.taobao.com,,,37170.00,河北,针织女,,4.90071分,51.54%,4.9078分,43.91%,4.91135分,43.87%,,,,,,,,,,
792,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaovenus之衣"，"点我对话"),venus之衣,藤鼎品牌折扣女装,,,,,https://shop105495731.taobao.com,,,5441.00,河北,针织女,,4.91653,59.26%,4.93419,59.96%,4.94222分,63.42%,,,,,,,,,,
793,湖南鑫经纬服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao梦思城旗舰店"，"点我对话"),梦思城旗舰店,梦思城旗舰店,,,,,https://shop292840698.taobao.com,,,0.00,河北,针织女,,4.88254分,7.64%,4.80622分,0.52%,4.82574分,0%,,,,,,,,,,
794,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao晓雪时尚馆"，"点我对话"),晓雪时尚馆,晓雪时尚代购店,,,,,https://shop242941446.taobao.com,,,83684.00,河北,针织女,,4.86957分,36.34%,4.89946分,38.84%,4.88043分,24.30%,,,,,,,,,,
795,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaojmxy13688"，"点我对话"),jmxy13688,A airy Fairy Studios,,,,,https://shop67667030.taobao.com,,,38107.00,河北,针织女,,4.76255分,-0.68%,4.81028分,-0.52%,4.81373分,-0.58%,,,,,,,,,,
796,上海同峥服装服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao衣然故我旗舰店"，"点我对话"),衣然故我旗舰店,衣然故我旗舰店,,,,,https://shop106976506.taobao.com,,,0,河北,针织女,,4.92011分,37.19%,4.89383分,37.02%,4.91191分,44.79%,,,,,,,,,,
797,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao杨氏百货商店"，"点我对话"),杨氏百货商店,d[s593058339],,,,,https://shop593058339.taobao.com,,,5257.81,河北,针织女,,4.63898,-3.60%,4.67572,-3.48%,4.72843分,-2.56%,,,,,,,,,,
798,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao国际正品旗名店"，"点我对话"),国际正品旗名店,国际正品旗名店,,,,,https://shop445554933.taobao.com,,,1162.38,河北,针织女,,4.79167,0.10%,4.79167,-0.91%,4.79167分,-1.04%,,,,,,,,,,
799,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao融迪羊绒制品有限公司"，"点我对话"),融迪羊绒制品有限公司,融迪官方店,,,,,https://shop128011532.taobao.com,,,11403.00,河北,针织女,,4.77236,0.47%,4.82114,0.30%,4.89431分,33.15%,,,,,,,,,,
800,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao神奇衣专柜"，"点我对话"),神奇衣专柜,品牌专柜羊绒衫,,,,,https://shop114137058.taobao.com,,,50062.00,河北,针织女,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
801,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao爱上穿名鞋"，"点我对话"),爱上穿名鞋,韩都惠,,,,,https://shop106775776.taobao.com,,,23569.00,河北,针织女,,4.90545分,53.88%,4.94545分,66.84%,4.95636分,72.40%,,,,,,,,,,
802,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoquerui8"，"点我对话"),querui8,森女蝶希,,,,,https://shop33081244.taobao.com,,,11202.00,河北,针织女,,4.87033分,36.71%,4.91429分,47.86%,4.90989分,42.95%,,,,,,,,,,
803,徐州南辉电气有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao羽虞旗舰店"，"点我对话"),羽虞旗舰店,羽虞旗舰店,,,,,https://shop285638123.taobao.com,,,0,河北,针织女,,4.76135分,2.29%,4.65769分,3.60%,4.7039分,2.82%,,,,,,,,,,
804,杭州文默贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao趣院旗舰店"，"点我对话"),趣院旗舰店,趣院旗舰店,,,,,https://shop358786607.taobao.com,,,5488.57,河北,针织女,,4.78442分,1.81%,4.7186分,2.34%,4.73068分,2.27%,,,,,,,,,,
805,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蹉跎行走"，"点我对话"),蹉跎行走,大姐恋外贸大码女装,,,,,https://shop114309241.taobao.com,,,9662.00,河北,针织女,,4.80212分,3.42%,4.84952分,8.46%,4.86744分,16.07%,,,,,,,,,,
806,杭州尼普奴电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao法蒂琳旗舰店"，"点我对话"),法蒂琳旗舰店,法蒂琳旗舰店,,,,,https://shop282397212.taobao.com,,,15863.19,河北,针织女,,4.96023分,68.73%,4.92308分,54.37%,4.94017分,62.50%,,,,,,,,,,
807,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoai275777652"，"点我对话"),ai275777652,温雅羊绒精品服饰店,,,,,https://shop106349252.taobao.com,,,23324.00,河北,针织女,,4.65333分,-2.95%,4.74667分,-1.84%,4.86667分,15.66%,,,,,,,,,,
808,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小小李_24"，"点我对话"),小小李_24,基立溪濮院毛衫工厂店,,,,,https://shop71422966.taobao.com,,,6358.00,河北,针织女,,4.84211分,22.98%,4.84211分,4.02%,4.89474分,33.42%,,,,,,,,,,
809,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaownhzsh"，"点我对话"),wnhzsh,瑭人,,,,,https://shop57290214.taobao.com,,,24252.00,河北,针织女,,4.87267分,37.89%,4.90373分,41.48%,4.91615分,46.96%,,,,,,,,,,
810,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao一品包阁"，"点我对话"),一品包阁,衣品包阁,,,,,https://shop102396075.taobao.com,,,27554.00,河北,针织女,,4.80822分,6.45%,4.79167分,-0.91%,4.80822分,-0.70%,,,,,,,,,,
811,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoleveret00"，"点我对话"),leveret00,胖不胖女装,,,,,https://shop37035461.taobao.com,,,511.42,河北,针织女,,4.88776分,45.25%,4.94898分,68.98%,4.94898分,67.73%,,,,,,,,,,
812,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao华华时尚屋"，"点我对话"),华华时尚屋,拉夏贝尔时尚折扣店,,,,,https://shop239146140.taobao.com,,,93523.00,河北,针织女,,4.97519分,87.89%,4.96899分,81.14%,4.97364分,83.31%,,,,,,,,,,
813,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoavrala"，"点我对话"),avrala,AVRALA奥柔拉女装,,,,,https://shop107713141.taobao.com,,,3557.00,河北,针织女,,4.87273,37.92%,4.90909,44.74%,4.90909分,42.49%,,,,,,,,,,
814,,一金,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小兔幼萱"，"点我对话"),小兔幼萱,幼萱家暮色森林,,,,,https://shop34269105.taobao.com,,,30141.33,河北,针织女,,4.81846分,-0.82%,4.84408分,-0.80%,4.83015分,-1.07%,,,,,,,,,,
815,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohuang970547071"，"点我对话"),huang970547071,二娃高端定制,,,,,https://shop73029610.taobao.com,,,198159.00,河北,针织女,,4.94242分,71.90%,4.95535分,72.84%,4.96005分,74.71%,,,,,,,,,,
816,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoanxin20041020"，"点我对话"),anxin20041020,时尚素然风,,,,,https://shop100074710.taobao.com,,,20885.00,河北,针织女,,4.82621,15.17%,4.86759,19.45%,4.8852分,27.32%,,,,,,,,,,
817,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaonndoudou288"，"点我对话"),nndoudou288,我是可可 每天上新,,,,,https://shop66918971.taobao.com,,,263466.00,河南,针织女,,4.67568分,-2.49%,4.76515分,-1.46%,4.78169分,-1.25%,,,,,,,,,,
818,广州碟恋蜂服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoemperorbee旗舰店"，"点我对话"),emperorbee旗舰店,emperorbee旗舰店,,,,,https://shop335989190.taobao.com,,,19929.00,河南,针织女,,5.0分,100%,4.9771分,86.42%,4.99237分,95.22%,,,,,,,,,,
