编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,月销售额,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
52,北京傲妮商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotanni旗舰店"，"点我对话"),tanni旗舰店,tanni旗舰店,,,,,https://shop114721434.taobao.com,,,0,北京,针织女,,4.92202分,38.68%,4.89908分,40.14%,4.96024分,75.09%,,,,,,,,,,
53,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohn1117"，"点我对话"),hn1117,MMJ猫猫家加长女裤定制原创女装,,,,,https://shop34986181.taobao.com,,,325403.00,北京,针织女,,4.85643,29.92%,4.88964,32.86%,4.90321分,38.72%,,,,,,,,,,
54,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoaizhiyi爱织依"，"点我对话"),aizhiyi爱织依,梵沐熙 只做纯羊绒,,,,,https://shop106429915.taobao.com,,,94782.00,北京,针织女,,4.99167,95.93%,5.0,100.00%,5.0分,100.00%,,,,,,,,,,
55,清河县冯唐服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao婉美慕鸽服饰旗舰店"，"点我对话"),婉美慕鸽服饰旗舰店,婉美慕鸽服饰旗舰店,,,,,https://shop110297381.taobao.com,,,8854213.00,北京,针织女,,4.94539分,57.06%,4.9306分,58.84%,4.94994分,68.63%,,,,,,,,,,
56,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao沐含521"，"点我对话"),沐含521,StudioFun独立设计女,,,,,https://shop58723691.taobao.com,,,270067.00,北京,针织女,,4.85995分,31.64%,4.89707分,37.38%,4.89906分,36.09%,,,,,,,,,,
57,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao冷雨潮流"，"点我对话"),冷雨潮流,依美爱,,,,,https://shop72198724.taobao.com,,,0,北京,针织女,,4.76876分,-0.55%,4.80537分,-0.63%,4.81452分,-0.57%,,,,,,,,,,
58,河北创想羊绒制品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao雪牧皇旗舰店"，"点我对话"),雪牧皇旗舰店,雪牧皇旗舰店,,,,,https://shop182269712.taobao.com,,,2277438.00,北京,针织女,,4.90594分,26.05%,4.88281分,30.48%,4.90054分,37.67%,,,,,,,,,,
59,北京藜可萱时装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao藜墨旗舰店"，"点我对话"),藜墨旗舰店,藜墨旗舰店,,,,,https://shop73292408.taobao.com,,,0,北京,针织女,,4.85122分,0%,4.82594分,0%,4.86863分,17.69%,,,,,,,,,,
60,北京甘甘那服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao甘甘的世界服饰旗舰店"，"点我对话"),甘甘的世界服饰旗舰店,甘甘的世界服饰旗舰店,,,,,https://shop70634920.taobao.com,,,14476493.00,北京,针织女,,4.93682分,50.33%,4.89774分,39.34%,4.90262分,38.97%,,,,,,,,,,
61,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao保真羊绒制品"，"点我对话"),保真羊绒制品,保真羊绒制品工厂直销,,,,,https://shop62326414.taobao.com,,,46782.00,北京,针织女,,4.84186分,22.81%,4.8814分,27.85%,4.89535分,33.74%,,,,,,,,,,
62,北京海兰丝服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao海兰丝旗舰店"，"点我对话"),海兰丝旗舰店,海兰丝旗舰店,,,,,https://shop70015480.taobao.com,,,0,北京,针织女,,4.93458分,48.56%,4.91495分,49.56%,4.91822分,48.76%,,,,,,,,,,
63,合肥奥徠澜贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao澜瑟岛旗舰店"，"点我对话"),澜瑟岛旗舰店,澜瑟岛旗舰店,,,,,https://shop110190089.taobao.com,,,2002331.00,北京,针织女,,4.91906分,36.36%,4.86805分,21.72%,4.87789分,23.47%,,,,,,,,,,
64,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao大堡礁小女警"，"点我对话"),大堡礁小女警,QINGYANG 丨卿羊,,,,,https://shop111940049.taobao.com,,,4797.00,北京,针织女,,4.78分,0.31%,4.82分,0.32%,4.92分,49.40%,,,,,,,,,,
65,北京赛斯特服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao赛斯特女装旗舰店"，"点我对话"),赛斯特女装旗舰店,赛斯特女装旗舰店,,,,,https://shop101017797.taobao.com,,,229106.00,北京,针织女,,4.95639分,65.71%,4.93657分,62.37%,4.94351分,64.60%,,,,,,,,,,
66,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao拽拽创意女生"，"点我对话"),拽拽创意女生,木棉布衣,,,,,https://shop36304992.taobao.com,,,0,北京,针织女,,4.90691分,54.59%,4.90426分,41.80%,4.92553分,52.89%,,,,,,,,,,
67,北京市宗洋制衣集团,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao宗洋旗舰店"，"点我对话"),宗洋旗舰店,宗洋旗舰店,,,,,https://shop103314115.taobao.com,,,1055600.00,北京,针织女,,4.97462分,80.04%,4.95431分,72.90%,4.95178分,69.79%,,,,,,,,,,
68,北京雪莲国际时装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao雪莲女装旗舰店"，"点我对话"),雪莲女装旗舰店,雪莲女装旗舰店,,,,,https://shop112794302.taobao.com,,,10628952.00,北京,针织女,,4.91985分,36.97%,4.93511分,61.51%,4.95038分,68.91%,,,,,,,,,,
69,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao绒都衣阁"，"点我对话"),绒都衣阁,高端羊绒私人专属,,,,,https://shop106202999.taobao.com,,,176999.00,北京,针织女,,4.80831分,6.44%,4.85647分,12.68%,4.86119分,12.12%,,,,,,,,,,
70,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao2013newdream"，"点我对话"),2013newdream,中媒时尚,,,,,https://shop107214027.taobao.com,,,27567.00,北京,针织女,,4.81493分,9.67%,4.86283分,16.55%,4.86788分,16.35%,,,,,,,,,,
71,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao来自北方的大山"，"点我对话"),来自北方的大山,璇璇羊绒衣线店祝您购,,,,,https://shop65267909.taobao.com,,,44634.00,北京,针织女,,4.94375分,72.56%,4.95417分,72.14%,4.95417分,71.01%,,,,,,,,,,
72,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao素柠衣品服饰有限公司"，"点我对话"),素柠衣品服饰有限公司,阿萝璃女装,,,,,https://shop159738512.taobao.com,,,202049.00,北京,针织女,,4.81191,8.20%,4.85921,14.35%,4.86083分,11.89%,,,,,,,,,,
73,嘉兴视源网络科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao名人瑞裳旗舰店"，"点我对话"),名人瑞裳旗舰店,名人瑞裳旗舰店,,,,,https://shop57299822.taobao.com,,,0,北京,针织女,,4.91287分,31.50%,4.8863分,32.55%,4.92004分,49.89%,,,,,,,,,,
74,清河县思雨羊绒制品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao珍丝贝尔旗舰店"，"点我对话"),珍丝贝尔旗舰店,珍丝贝尔旗舰店,,,,,https://shop68338656.taobao.com,,,3204390.00,北京,针织女,,4.96037分,68.84%,4.93293分,60.21%,4.92988分,56.05%,,,,,,,,,,
75,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaozzzai2504"，"点我对话"),zzzai2504,柏穆莎大码女装,,,,,https://shop70562088.taobao.com,,,128222.00,北京,针织女,,4.73444分,-1.26%,4.79669分,-0.80%,4.8064分,-0.73%,,,,,,,,,,
76,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao万姿情美"，"点我对话"),万姿情美,夜小妖V妖风来袭,,,,,https://shop103802223.taobao.com,,,1302188.00,北京,针织女,,4.93481,68.18%,4.96117,76.38%,4.98058分,87.70%,,,,,,,,,,
77,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao梦溪女装"，"点我对话"),梦溪女装,梦溪女装小铺,,,,,https://shop162927251.taobao.com,,,98795.00,北京,针织女,,4.79857分,1.75%,4.82817分,0.15%,4.84458分,1.69%,,,,,,,,,,
78,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao貂绒王"，"点我对话"),貂绒王,貂绒王 貂绒时尚会馆,,,,,https://shop105769345.taobao.com,,,6436.00,北京,针织女,,4.71103分,-1.75%,4.8403分,2.85%,4.85171分,6.12%,,,,,,,,,,
79,清河县蓝诗宝羊绒制品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蓝诗宝旗舰店"，"点我对话"),蓝诗宝旗舰店,蓝诗宝旗舰店,,,,,https://shop110991795.taobao.com,,,0,北京,针织女,,4.95885分,67.64%,4.94353分,66.51%,4.95442分,71.44%,,,,,,,,,,
80,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao冻龄美"，"点我对话"),冻龄美,精品店美,,,,,https://shop108916991.taobao.com,,,2438.75,北京,针织女,,4.60994分,-4.23%,4.64228分,-4.18%,4.71175分,-2.84%,,,,,,,,,,
81,沈阳六象商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao卡鹿蒙服饰旗舰店"，"点我对话"),卡鹿蒙服饰旗舰店,卡鹿蒙服饰旗舰店,,,,,https://shop111751552.taobao.com,,,6316456.00,北京,针织女,,4.95034分,60.96%,4.93239分,59.89%,4.9392分,61.90%,,,,,,,,,,
82,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao帅帅诚信经营"，"点我对话"),帅帅诚信经营,至臻高端羊绒工厂店,,,,,https://shop106781468.taobao.com,,,126452.00,北京,针织女,,4.94755分,74.40%,4.9528分,71.29%,4.95979分,74.54%,,,,,,,,,,
83,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaobubbly吹泡泡泡"，"点我对话"),bubbly吹泡泡泡,金金小仙女定制,,,,,https://shop438656619.taobao.com,,,0,北京,针织女,,4.71722分,-1.62%,4.76721分,-1.41%,4.78126分,-1.26%,,,,,,,,,,
84,北京布鲁格蔚贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohowlstudio服饰旗舰店"，"点我对话"),howlstudio服饰旗舰店,howlstudio服饰旗舰店,,,,,https://shop517353005.taobao.com,,,675757.00,北京,针织女,,4.91781分,35.38%,4.90411分,43.12%,4.91781分,48.49%,,,,,,,,,,
